Name,mtd_interval,MEF,ASR,time_to_compromise,host_compromise_ratio,network_size,exposed_endpoints,attack_path_exposure,ROA,risk,shortest_path_variability
mtd_ai,200,0.005033040472112457,0.15625,4577.152376382098,0.05,150,5,0.235,0.3451029271103015,0.5015224132295121,0.0
mtd_ai,200,0.005033040472112457,0.2459016393442623,5353.83668659401,0.1,150,5,0.235,0.3451029271103015,0.5015224132295121,0.0
mtd_ai,200,0.005033040472112457,0.32608695652173914,5668.190632323902,0.15,150,5,0.235,0.3451029271103015,0.5015224132295121,0.0
mtd_ai,200,0.005033040472112457,0.36585365853658536,6349.343102556728,0.2,150,5,0.235,0.3451029271103015,0.5015224132295121,0.0
mtd_ai,200,0.005033040472112457,0.39473684210526316,6933.255694637475,0.25,150,5,0.235,0.3451029271103015,0.5015224132295121,0.0
mtd_ai,200,0.005077899698301988,0.375,1867.8740077102582,0.05,150,5,0.16467724867724867,1.511660911212316,3.756785522576541,0.0
mtd_ai,200,0.005077899698301988,0.36585365853658536,3152.493223027448,0.1,150,5,0.16467724867724867,1.511660911212316,3.756785522576541,0.0
mtd_ai,200,0.005077899698301988,0.42452830188679247,3660.834517042032,0.15,150,5,0.16467724867724867,1.511660911212316,3.756785522576541,0.0
mtd_ai,200,0.005077899698301988,0.4225352112676056,4663.586859800618,0.2,150,5,0.16467724867724867,1.511660911212316,3.756785522576541,0.0
mtd_ai,200,0.005077899698301988,0.4573170731707317,5189.60306021429,0.25,150,5,0.16467724867724867,1.511660911212316,3.756785522576541,0.0
mtd_ai,200,0.0050813551864214886,0.3409090909090909,1408.6362634409766,0.05,150,5,0.13111111111111112,0.4140026065356064,0.7357827398743129,0.0
mtd_ai,200,0.0050813551864214886,0.4166666666666667,2326.268469096053,0.1,150,5,0.13111111111111112,0.4140026065356064,0.7357827398743129,0.0
mtd_ai,200,0.0050813551864214886,0.4326923076923077,3791.332088039487,0.15,150,5,0.13111111111111112,0.4140026065356064,0.7357827398743129,0.0
mtd_ai,200,0.0050813551864214886,0.4838709677419355,4233.62759331346,0.2,150,5,0.13111111111111112,0.4140026065356064,0.7357827398743129,0.0
mtd_ai,200,0.0050813551864214886,0.4807692307692308,5024.788771788628,0.25,150,5,0.13111111111111112,0.4140026065356064,0.7357827398743129,0.0
mtd_ai,200,0.005052313915925039,0.22727272727272727,4145.319565228361,0.05,150,5,0.42857142857142855,2.64581300122424,6.139443063832578,0.0
mtd_ai,200,0.005052313915925039,0.32608695652173914,4981.084161447605,0.1,150,5,0.42857142857142855,2.64581300122424,6.139443063832578,0.0
